iter	Passed	Remaining
408	4991	7212
409	5003	7199
410	5014	7186
411	5026	7173
412	5038	7161
413	5052	7151
414	5064	7139
415	5075	7125
416	5086	7112
417	5098	7098
418	5109	7085
419	5121	7072
420	5134	7060
421	5145	7048
422	5158	7035
423	5170	7024
424	5183	7013
425	5196	7001
426	5207	6987
427	5218	6974
428	5230	6961
429	5240	6947
430	5254	6937
431	5268	6926
432	5279	6913
433	5290	6900
434	5304	6889
435	5315	6876
436	5326	6862
437	5338	6849
438	5351	6838
439	5365	6828
440	5377	6816
441	5389	6803
442	5402	6792
443	5414	6779
444	5426	6767
445	5437	6754
446	5449	6741
447	5461	6729
448	5472	6716
449	5485	6704
450	5497	6692
451	5509	6679
452	5519	6665
453	5531	6653
454	5544	6641
455	5555	6627
456	5566	6613
457	5580	6603
458	5592	6591
459	5603	6578
460	5615	6565
461	5628	6554
462	5641	6542
463	5651	6528
464	5665	6518
465	5678	6507
466	5691	6495
467	5704	6485
468	5716	6472
469	5727	6458
470	5739	6445
471	5750	6433
472	5762	6420
473	5774	6408
474	5786	6395
475	5801	6386
476	5813	6374
477	5825	6361
478	5837	6349
479	5848	6335
480	5859	6322
481	5872	6310
482	5883	6298
483	5896	6286
484	5908	6273
485	5920	6261
486	5931	6248
487	5943	6235
488	5954	6222
489	5966	6210
490	5978	6197
491	5990	6185
492	6003	6173
493	6014	6160
494	6027	6149
495	6039	6136
496	6052	6125
497	6063	6112
498	6076	6101
499	6087	6087
500	6100	6076
501	6112	6063
502	6124	6051
503	6137	6039
504	6151	6029
505	6161	6015
506	6173	6003
507	6185	5990
508	6198	5979
509	6211	5968
510	6225	5957
511	6236	5944
512	6250	5933
513	6261	5920
514	6273	5908
515	6284	5895
516	6297	5883
517	6310	5871
518	6323	5860
519	6336	5849
520	6349	5837
521	6361	5825
522	6373	5812
523	6384	5800
524	6397	5787
525	6408	5774
526	6420	5762
527	6433	5751
528	6445	5738
529	6455	5725
530	6468	5713
531	6481	5701
532	6492	5688
533	6503	5675
534	6516	5663
535	6530	5652
536	6541	5639
537	6551	5626
538	6563	5613
539	6575	5601
540	6586	5588
541	6597	5575
542	6610	5563
543	6621	5550
544	6633	5538
545	6646	5526
546	6658	5514
547	6669	5500
548	6680	5488
549	6694	5477
550	6706	5465
551	6717	5452
552	6729	5439
553	6741	5427
554	6753	5415
555	6765	5403
556	6778	5390
557	6791	5379
558	6802	5366
559	6813	5353
560	6826	5342
561	6839	5330
562	6851	5318
563	6865	5307
564	6877	5294
565	6889	5283
566	6901	5270
567	6912	5257
568	6924	5244
569	6936	5232
570	6946	5219
571	6960	5208
572	6972	5195
573	6983	5183
574	6995	5170
575	7008	5158
576	7020	5147
577	7032	5134
578	7043	5121
579	7056	5109
580	7068	5097
581	7080	5085
582	7092	5072
583	7105	5061
584	7116	5048
585	7127	5035
586	7139	5023
587	7153	5012
588	7166	5000
589	7178	4988
590	7190	4976
591	7202	4964
592	7214	4951
593	7226	4939
594	7238	4927
595	7253	4916
596	7265	4904
597	7276	4891
598	7289	4880
599	7301	4867
600	7313	4855
601	7324	4842
602	7337	4830
603	7350	4819
604	7362	4806
605	7374	4794
606	7386	4782
607	7398	4770
608	7410	4757
609	7421	4745
610	7433	4732
611	7446	4720
612	7456	4707
613	7470	4696
614	7482	4684
615	7495	4672
616	7506	4659
617	7518	4647
618	7531	4635
619	7543	4623
620	7555	4610
621	7567	4598
622	7580	4587
623	7593	4575
624	7604	4562
625	7622	4553
626	7633	4541
627	7646	4529
628	7658	4516
629	7669	4504
630	7682	4492
631	7694	4480
632	7706	4468
633	7717	4455
634	7728	4442
635	7740	4430
636	7752	4417
637	7766	4406
638	7780	4395
639	7793	4384
640	7804	4371
641	7815	4358
642	7828	4346
643	7841	4334
644	7851	4321
645	7864	4309
646	7876	4297
647	7888	4284
648	7900	4272
649	7912	4260
650	7923	4248
651	7934	4235
652	7946	4222
653	7959	4210
654	7971	4198
655	7982	4186
656	7996	4174
657	8009	4162
658	8022	4151
659	8034	4139
660	8046	4126
661	8058	4114
662	8071	4102
663	8083	4090
664	8094	4077
665	8106	4065
666	8117	4052
667	8129	4040
668	8141	4028
669	8154	4016
670	8168	4005
671	8180	3992
672	8193	3981
673	8206	3969
674	8219	3957
675	8231	3945
676	8243	3932
677	8255	3920
678	8268	3908
679	8278	3895
680	8291	3884
681	8303	3871
682	8319	3861
683	8335	3850
684	8348	3838
685	8359	3826
686	8371	3814
687	8385	3802
688	8396	3790
689	8407	3777
690	8420	3765
691	8433	3753
692	8445	3741
693	8456	3728
694	8468	3716
695	8480	3704
696	8491	3691
697	8504	3679
698	8516	3667
699	8528	3655
700	8540	3642
701	8552	3630
702	8565	3618
703	8578	3606
704	8590	3594
705	8602	3582
706	8615	3570
707	8634	3561
708	8651	3550
709	8666	3539
710	8680	3528
711	8694	3516
712	8706	3504
713	8719	3492
714	8733	3481
715	8748	3470
716	8763	3458
717	8778	3447
718	8794	3437
719	8810	3426
720	8825	3415
721	8839	3403
722	8851	3391
723	8865	3379
724	8877	3367
725	8889	3355
726	8901	3342
727	8913	3330
728	8926	3318
729	8938	3306
730	8949	3293
731	8965	3282
732	8978	3270
733	8991	3258
734	9002	3245
735	9013	3233
736	9026	3221
737	9039	3209
738	9050	3196
739	9063	3184
740	9076	3172
741	9089	3160
742	9100	3147
743	9113	3135
744	9125	3123
745	9137	3111
746	9150	3099
747	9162	3086
748	9176	3075
749	9189	3063
750	9202	3051
751	9213	3038
752	9226	3026
753	9237	3013
754	9248	3001
755	9259	2988
756	9271	2976
757	9283	2963
758	9298	2952
759	9310	2940
760	9323	2928
761	9335	2915
762	9345	2902
763	9358	2890
764	9370	2878
765	9383	2866
766	9394	2853
767	9406	2841
768	9418	2829
769	9430	2816
770	9442	2804
771	9455	2792
772	9468	2780
773	9481	2768
774	9493	2756
775	9506	2744
776	9519	2732
777	9531	2719
778	9542	2707
779	9553	2694
780	9566	2682
781	9580	2670
782	9591	2658
783	9605	2646
784	9616	2633
785	9627	2621
786	9638	2608
787	9652	2596
788	9664	2584
789	9675	2572
790	9687	2559
791	9700	2547
792	9713	2535
793	9724	2523
794	9735	2510
795	9747	2498
796	9759	2485
797	9770	2473
798	9782	2460
799	9794	2448
800	9807	2436
801	9820	2424
802	9831	2411
803	9844	2399
804	9856	2387
805	9868	2375
806	9880	2362
807	9891	2350
808	9902	2337
809	9914	2325
810	9926	2313
811	9938	2301
812	9949	2288
813	9961	2276
814	9973	2263
815	9984	2251
816	9997	2239
817	10010	2227
818	10022	2214
819	10033	2202
820	10045	2190
821	10057	2177
822	10068	2165
823	10082	2153
824	10094	2141
825	10108	2129
826	10121	2117
827	10133	2104
828	10145	2092
829	10158	2080
830	10171	2068
831	10183	2056
832	10195	2043
833	10207	2031
834	10221	2019
835	10232	2007
836	10244	1994
837	10258	1983
838	10270	1970
839	10281	1958
840	10293	1946
841	10307	1934
842	10320	1922
843	10331	1909
844	10344	1897
845	10355	1885
846	10368	1873
847	10380	1860
848	10392	1848
849	10405	1836
850	10417	1824
851	10428	1811
852	10440	1799
853	10454	1787
854	10466	1774
855	10477	1762
856	10489	1750
857	10503	1738
858	10516	1726
859	10527	1713
860	10538	1701
861	10552	1689
862	10564	1677
863	10575	1664
864	10587	1652
865	10599	1640
866	10610	1627
867	10622	1615
868	10634	1603
869	10651	1591
870	10664	1579
871	10676	1567
872	10687	1554
873	10699	1542
874	10711	1530
875	10722	1517
876	10734	1505
877	10747	1493
878	10758	1480
879	10771	1468
880	10783	1456
881	10796	1444
882	10808	1432
883	10819	1419
884	10831	1407
885	10844	1395
886	10855	1383
887	10868	1370
888	10881	1358
889	10893	1346
890	10905	1334
891	10917	1321
892	10929	1309
893	10941	1297
894	10952	1284
895	10964	1272
896	10977	1260
897	10990	1248
898	11001	1236
899	11014	1223
900	11026	1211
901	11038	1199
902	11049	1186
903	11063	1174
904	11077	1162
905	11090	1150
906	11102	1138
907	11113	1126
908	11125	1113
909	11136	1101
910	11147	1089
911	11159	1076
912	11172	1064
913	11183	1052
914	11196	1040
915	11208	1027
916	11222	1015
917	11234	1003
918	11246	991
919	11258	978
920	11270	966
921	11281	954
922	11296	942
923	11308	930
924	11321	917
925	11333	905
926	11344	893
927	11357	881
928	11369	868
929	11381	856
930	11393	844
931	11407	832
932	11420	820
933	11432	807
934	11443	795
935	11454	783
936	11469	771
937	11480	758
938	11492	746
939	11505	734
