iter	Logloss
0	0.6247957472
1	0.5662877858
2	0.5170666653
3	0.4781438797
4	0.4429964323
5	0.4112271054
6	0.3855134671
7	0.3655164384
8	0.3487068716
9	0.3319005802
10	0.3165631564
11	0.3052568712
12	0.2941553913
13	0.2858673124
14	0.2780206233
15	0.2700345889
16	0.2641383103
17	0.2575279256
18	0.251639663
19	0.2463541399
20	0.2413742605
21	0.2361570624
22	0.2320133593
23	0.228844289
24	0.2250166618
25	0.2217525996
26	0.218977658
27	0.2162508649
28	0.2138547618
29	0.2119517882
30	0.2099505468
31	0.208040962
32	0.2064703863
33	0.2042903256
34	0.2018892863
35	0.200322298
36	0.1989603533
37	0.1975700527
38	0.1964668175
39	0.195166106
40	0.1934322196
41	0.192040748
42	0.1909367056
43	0.1900758723
44	0.1887654522
45	0.1877671237
46	0.1862553302
47	0.1853656359
48	0.1843581869
49	0.1835662013
50	0.1829626531
51	0.1820962527
52	0.1812279265
53	0.1804573213
54	0.1795760763
55	0.1787633931
56	0.1782878532
57	0.1773525294
58	0.1764616142
59	0.175701801
60	0.1751240667
61	0.1747999529
62	0.1742755205
63	0.1735714586
64	0.1729108042
65	0.1725318947
66	0.1717563938
67	0.1712316056
68	0.1707877812
69	0.1704811005
70	0.1699844156
71	0.1695862693
72	0.1688854478
73	0.1684189843
74	0.167504803
75	0.1667475116
76	0.1661319938
77	0.1654803164
78	0.1648521641
79	0.164432848
80	0.1636680413
81	0.1630055285
82	0.1624455912
83	0.1621254335
84	0.1617499304
85	0.1614421762
86	0.1610038272
87	0.1606636807
88	0.1603469834
89	0.1598368297
90	0.1592875937
91	0.1589527843
92	0.1583761534
93	0.1579378329
94	0.1574961527
95	0.1571688357
96	0.1568918233
97	0.1565939208
98	0.1563337009
99	0.1560537876
100	0.1556287799
101	0.1552035732
102	0.1550332889
103	0.1547164443
104	0.1544442521
105	0.1541313165
106	0.1537738612
107	0.1534582235
108	0.1530091249
109	0.152721121
110	0.1523271397
111	0.1521600989
112	0.1517420283
113	0.1514559824
114	0.1511221404
115	0.1508027989
116	0.1503575948
117	0.1499143989
118	0.14960618
119	0.1492134566
120	0.1488674763
121	0.1487440088
122	0.1485067611
123	0.1481088597
124	0.1478410725
125	0.1476684857
126	0.1474243941
127	0.1470687426
128	0.1466110756
129	0.1463989658
130	0.1461060812
131	0.1456499174
132	0.1454508651
133	0.1451746203
134	0.1448007246
135	0.1444164359
136	0.1440428882
137	0.1437986043
138	0.1434799069
139	0.1431239745
140	0.1429551994
141	0.1425668101
142	0.1424498672
143	0.1420993735
144	0.1418783336
145	0.1414158134
146	0.1411545117
147	0.1409804654
148	0.1406255345
149	0.1403418683
150	0.1400674623
151	0.1397643792
152	0.1394219068
153	0.1391262972
154	0.1388353385
155	0.1386023196
156	0.1384098409
157	0.1382827241
158	0.1381824009
159	0.1378371436
160	0.137587262
161	0.1374645477
162	0.1373136749
163	0.1370867568
164	0.136816597
165	0.1366270148
166	0.1364475852
167	0.1363433504
168	0.1359581721
169	0.1357859516
170	0.1355006401
171	0.1353401922
172	0.1351857345
173	0.134994586
174	0.1347388573
175	0.1344915682
176	0.1341827571
177	0.1340528488
178	0.1337481331
179	0.1335136483
180	0.133333728
181	0.1331802596
182	0.1329168104
183	0.1327490806
184	0.1325437553
185	0.1323426669
186	0.1321433151
187	0.1319273167
188	0.1316958722
189	0.1315926608
190	0.1313677727
191	0.1311694877
192	0.1309870287
193	0.1306572656
194	0.1304241472
195	0.1302113948
196	0.1301347783
197	0.1299248619
198	0.1298507436
199	0.1294218059
200	0.1292334627
201	0.1290132487
202	0.1288107428
203	0.1286457698
204	0.128496278
205	0.1282277426
206	0.127987555
207	0.1278459736
208	0.1275166368
209	0.1274620065
210	0.1272578729
211	0.1270158054
212	0.126853959
213	0.1267800222
214	0.1264216337
215	0.1263197234
216	0.1260811985
217	0.125788955
218	0.1256452877
219	0.1254374998
220	0.1252192765
221	0.1249453855
222	0.1246838816
223	0.1244165741
224	0.1242417188
225	0.1241763126
226	0.1240233567
227	0.1236860146
228	0.123358175
229	0.1231114699
230	0.1229588112
231	0.1226315232
232	0.1224102849
233	0.1223313145
234	0.1220396961
235	0.1218381648
236	0.1216304505
237	0.1215685033
238	0.1212858106
239	0.121024563
240	0.1208768155
241	0.1208277755
242	0.1207088865
243	0.1205323159
244	0.1204096328
245	0.1202666331
246	0.1201396085
247	0.1199523665
248	0.11982937
249	0.1196885346
250	0.1195652169
251	0.1193163994
252	0.1191871938
253	0.1190514001
254	0.1188833948
255	0.1187516566
256	0.1186302096
257	0.1184055647
258	0.1182564442
259	0.1180598756
260	0.1178832008
261	0.1177591324
262	0.1176268097
263	0.1174233322
264	0.1173291516
265	0.1171388095
266	0.1170130329
267	0.1168448955
268	0.1166645795
269	0.1165116872
270	0.1163696547
271	0.116191117
272	0.1160132855
273	0.1157686026
274	0.1156946111
275	0.115550386
276	0.1153721345
277	0.1152135504
278	0.1149721141
279	0.1148589061
280	0.1147039774
281	0.1145774009
282	0.1144343784
283	0.1143212186
284	0.1140725747
285	0.1139307908
286	0.1138074177
287	0.1136150081
288	0.1134351112
289	0.1132082537
290	0.112971748
291	0.1128530258
292	0.1125862305
293	0.1124955363
294	0.1123206362
295	0.1121381906
296	0.1119164791
297	0.1117647111
298	0.1116012985
299	0.1114976494
300	0.1114543597
301	0.1113826261
302	0.1111381102
303	0.110953411
304	0.1107979809
305	0.1106650903
306	0.110513648
307	0.1103192778
308	0.1101237212
309	0.1099369506
310	0.109798967
311	0.1096025572
312	0.109411887
313	0.1092399279
314	0.1090514342
315	0.1088874573
316	0.1087590657
317	0.1085894719
318	0.1084567361
319	0.1083233283
320	0.108165397
321	0.1080148022
322	0.1078739399
323	0.1077362388
324	0.1075929848
325	0.1074792976
326	0.1073819442
327	0.1073041091
328	0.1071156218
329	0.106955341
330	0.1068340418
331	0.1066713668
332	0.1065559053
333	0.106346319
334	0.1062029686
335	0.1060317791
336	0.1058789769
337	0.1057294758
338	0.1055581821
339	0.1055219591
340	0.105413967
341	0.1053294825
342	0.1052267643
343	0.1051137665
344	0.1050058036
345	0.1048576876
346	0.1047203276
347	0.1045997072
348	0.104417499
349	0.1043241389
350	0.1042326878
351	0.1040985229
352	0.1039095527
353	0.1037900033
354	0.1036377385
355	0.1034374289
356	0.1032833074
357	0.1031904652
358	0.1030229153
359	0.102798811
360	0.1026445083
361	0.1025645619
362	0.1024092093
363	0.1023166028
364	0.1021611295
365	0.1020076423
366	0.1018440442
367	0.101685365
368	0.1016019465
369	0.1014582825
370	0.1013468778
371	0.1013085885
372	0.1011613394
373	0.1010310518
374	0.1009237689
375	0.1008118366
376	0.1006621863
377	0.1005242829
378	0.1004411444
379	0.100353395
380	0.1003200437
381	0.1002254545
382	0.1000617177
383	0.09995074734
384	0.09986370856
385	0.09971551125
386	0.09954892518
387	0.09946950595
388	0.09939087599
389	0.09925356741
390	0.09916522513
391	0.0990941022
392	0.09902028013
393	0.09887683335
394	0.09879133654
395	0.09872976758
396	0.09857727044
397	0.09849039934
398	0.09838611229
399	0.09837315172
400	0.09829923826
401	0.0982305275
402	0.09805663686
403	0.09800119012
404	0.09788908974
405	0.09776786576
406	0.09764139662
407	0.09749966116
408	0.0973755943
409	0.09731323504
410	0.09726967498
411	0.09717190176
412	0.09701445122
413	0.09697598792
414	0.09686611542
415	0.09676372436
416	0.0966653549
417	0.09655457239
418	0.09644744692
419	0.09637123212
420	0.09631522456
421	0.09628681211
422	0.09624770001
423	0.0961329766
424	0.09608795806
425	0.09604247414
426	0.09595681981
427	0.09586948597
428	0.09575863771
429	0.09566099579
430	0.0955949551
431	0.09552868453
432	0.09538673599
433	0.09524398992
434	0.09510419335
435	0.09504008847
436	0.09492370863
437	0.09485578623
438	0.09477959867
439	0.09473121851
440	0.09466312744
441	0.09457854274
442	0.09450269788
443	0.09439944947
444	0.09426813002
445	0.09416196917
446	0.09410276856
447	0.0940079817
448	0.09391306435
449	0.09383379651
450	0.09374286497
451	0.09368438934
452	0.09360853878
453	0.09349106572
454	0.09338151278
455	0.09320322453
456	0.09315009591
457	0.09311328519
458	0.09303463503
459	0.09295794734
460	0.09281502834
461	0.09268991192
462	0.09263055471
463	0.09253727258
464	0.09241736361
465	0.09231600191
466	0.09224389112
467	0.09216741977
468	0.09213276107
469	0.09208061384
470	0.0919856359
471	0.09187905298
472	0.0917605273
473	0.09164344032
474	0.09149917311
475	0.0913937775
476	0.09127321276
477	0.09123360689
478	0.09118256846
479	0.09110282611
480	0.09099713209
481	0.09097923902
482	0.09087408856
483	0.09079239341
484	0.09070364846
485	0.09063339864
486	0.09048802221
487	0.09041069611
488	0.09039920201
489	0.09031212014
490	0.09021554603
491	0.0901003986
492	0.08998753767
493	0.0898813635
494	0.08976400714
495	0.08969703594
496	0.08959159947
497	0.08952888093
498	0.08943258768
499	0.08926041345
500	0.08913414097
501	0.08903844799
502	0.08890108908
503	0.08879037829
504	0.08876717398
505	0.08866000437
506	0.08854726354
507	0.08838862225
508	0.0882765339
509	0.08819503315
510	0.08813399075
511	0.08806437322
512	0.08803823018
513	0.08797885205
514	0.08785746145
515	0.08777861825
516	0.08770114476
517	0.08759529354
518	0.08751419453
519	0.08741961606
520	0.08732833744
521	0.08723654258
522	0.08719123678
523	0.08705408004
524	0.08698594061
525	0.08693141404
526	0.08683019708
527	0.08676852385
528	0.08663200818
529	0.08656444013
530	0.08654362877
531	0.08646107656
532	0.08629988728
533	0.08621759801
534	0.08608454134
535	0.08603118193
536	0.08595020597
537	0.08584456729
538	0.08578166266
539	0.08569516859
540	0.08558887185
541	0.08548333362
542	0.08539022844
543	0.08530415786
544	0.08525224485
545	0.08513999426
546	0.08504607329
547	0.08496887539
548	0.08485619054
549	0.08474114803
550	0.08462369582
551	0.0845249516
552	0.08442582551
553	0.08436223405
554	0.08428968923
555	0.08420969828
556	0.08413070503
557	0.0840539783
558	0.08401068884
559	0.08392608692
560	0.08388994842
561	0.08379841625
562	0.0837807164
563	0.08367667182
564	0.08358774685
565	0.08350962509
566	0.08344557855
567	0.08334813978
568	0.08322233716
569	0.08308296554
570	0.08300088068
571	0.08291055133
572	0.08283841089
573	0.08279889286
574	0.08271628628
575	0.08263384282
576	0.08256019121
577	0.08255532027
578	0.08247971829
579	0.08244729523
580	0.0823878461
581	0.08232661471
582	0.08224706436
583	0.0822227839
584	0.08211780353
585	0.08202799381
586	0.08193566233
587	0.08184310212
588	0.08171697612
589	0.08161357286
590	0.0815198092
591	0.08139345289
592	0.08130891701
593	0.08122326067
594	0.08118075497
595	0.08108140859
596	0.08103432328
597	0.08095920133
598	0.08084956562
599	0.08076290131
600	0.08069125845
601	0.08063489081
602	0.08056683209
603	0.08048994405
604	0.08047453039
605	0.08046000439
606	0.08035936595
607	0.08027993341
608	0.08026504007
609	0.08018007149
610	0.08008545603
611	0.07999287134
612	0.07994358076
613	0.07990623876
